Wert,Zeit,Datum
1 W,07:39:41,12-07-2022
0 W,07:39:53,12-07-2022
8 W,07:40:28,12-07-2022
10 W,07:40:40,12-07-2022
12 W,07:40:56,12-07-2022
13 W,07:41:11,12-07-2022
24 W,07:41:27,12-07-2022
18 W,07:41:39,12-07-2022
21 W,07:41:55,12-07-2022
28 W,07:42:11,12-07-2022
37 W,07:42:39,12-07-2022
73 W,07:47:10,12-07-2022
78 W,07:47:26,12-07-2022
82 W,07:47:38,12-07-2022
85 W,07:47:54,12-07-2022
90 W,07:48:09,12-07-2022
95 W,07:48:28,12-07-2022
99 W,07:48:41,12-07-2022
104 W,07:48:53,12-07-2022
110 W,07:49:09,12-07-2022
114 W,07:49:28,12-07-2022
116 W,07:49:40,12-07-2022
124 W,07:49:56,12-07-2022
136 W,07:50:11,12-07-2022
143 W,07:50:27,12-07-2022
142 W,07:50:39,12-07-2022
138 W,07:50:55,12-07-2022
129 W,07:51:11,12-07-2022
134 W,07:51:26,12-07-2022
137 W,07:51:39,12-07-2022
146 W,07:51:54,12-07-2022
149 W,07:52:10,12-07-2022
161 W,07:52:26,12-07-2022
174 W,07:52:38,12-07-2022
175 W,07:52:54,12-07-2022
183 W,07:53:09,12-07-2022
187 W,07:53:28,12-07-2022
194 W,07:53:41,12-07-2022
204 W,07:54:09,12-07-2022
215 W,07:54:40,12-07-2022
132 W,07:54:56,12-07-2022
138 W,07:55:11,12-07-2022
134 W,07:55:27,12-07-2022
143 W,07:55:40,12-07-2022
141 W,07:55:55,12-07-2022
145 W,07:56:11,12-07-2022
160 W,07:56:26,12-07-2022
165 W,07:56:39,12-07-2022
163 W,07:56:55,12-07-2022
174 W,07:57:10,12-07-2022
181 W,07:57:29,12-07-2022
180 W,07:57:38,12-07-2022
188 W,07:57:54,12-07-2022
191 W,07:58:10,12-07-2022
198 W,07:58:28,12-07-2022
209 W,07:58:41,12-07-2022
211 W,07:58:53,12-07-2022
216 W,07:59:09,12-07-2022
220 W,07:59:28,12-07-2022
226 W,07:59:40,12-07-2022
235 W,08:00:12,12-07-2022
237 W,08:00:27,12-07-2022
251 W,08:00:40,12-07-2022
252 W,08:00:55,12-07-2022
248 W,08:01:11,12-07-2022
258 W,08:01:27,12-07-2022
263 W,08:01:39,12-07-2022
269 W,08:01:55,12-07-2022
283 W,08:01:58,12-07-2022
266 W,08:02:10,12-07-2022
278 W,08:02:26,12-07-2022
290 W,08:02:39,12-07-2022
291 W,08:02:54,12-07-2022
294 W,08:03:10,12-07-2022
297 W,08:03:29,12-07-2022
266 W,08:03:38,12-07-2022
280 W,08:03:54,12-07-2022
284 W,08:04:09,12-07-2022
298 W,08:04:28,12-07-2022
305 W,08:04:41,12-07-2022
307 W,08:04:53,12-07-2022
260 W,08:05:12,12-07-2022
256 W,08:05:28,12-07-2022
275 W,08:05:40,12-07-2022
273 W,08:05:56,12-07-2022
277 W,08:06:11,12-07-2022
281 W,08:06:27,12-07-2022
292 W,08:06:39,12-07-2022
297 W,08:06:55,12-07-2022
294 W,08:07:11,12-07-2022
307 W,08:07:26,12-07-2022
546 W,08:07:39,12-07-2022
571 W,08:07:54,12-07-2022
0 W,08:08:10,12-07-2022
18 W,08:08:29,12-07-2022
15 W,08:08:38,12-07-2022
13 W,08:08:54,12-07-2022
8 W,08:09:09,12-07-2022
13 W,08:09:28,12-07-2022
8 W,08:09:41,12-07-2022
11 W,08:09:53,12-07-2022
14 W,08:10:09,12-07-2022
0 W,08:10:28,12-07-2022
13 W,08:10:56,12-07-2022
9 W,08:11:11,12-07-2022
11 W,08:11:27,12-07-2022
5 W,08:11:39,12-07-2022
12 W,08:11:55,12-07-2022
5 W,08:12:11,12-07-2022
8 W,08:12:42,12-07-2022
5 W,08:12:54,12-07-2022
3 W,08:13:10,12-07-2022
2 W,08:13:38,12-07-2022
0 W,08:13:54,12-07-2022
5 W,08:14:53,12-07-2022
9 W,08:15:09,12-07-2022
179 W,08:15:27,12-07-2022
5 W,08:15:40,12-07-2022
0 W,08:15:56,12-07-2022
3 W,08:16:11,12-07-2022
7 W,08:16:27,12-07-2022
8 W,08:16:42,12-07-2022
4 W,08:16:55,12-07-2022
22 W,08:17:11,12-07-2022
6 W,08:17:26,12-07-2022
10 W,08:17:39,12-07-2022
7 W,08:17:54,12-07-2022
8 W,08:18:10,12-07-2022
7 W,08:18:29,12-07-2022
9 W,08:18:38,12-07-2022
8 W,08:18:54,12-07-2022
19 W,08:19:09,12-07-2022
0 W,08:19:28,12-07-2022
13 W,08:19:41,12-07-2022
2 W,08:19:53,12-07-2022
0 W,08:20:09,12-07-2022
25 W,08:20:28,12-07-2022
9 W,08:20:40,12-07-2022
0 W,08:20:56,12-07-2022
2 W,08:21:08,12-07-2022
0 W,08:21:27,12-07-2022
4 W,08:21:40,12-07-2022
10 W,08:21:55,12-07-2022
0 W,08:22:11,12-07-2022
8 W,08:22:26,12-07-2022
13 W,08:22:55,12-07-2022
17 W,08:23:10,12-07-2022
0 W,08:23:29,12-07-2022
10 W,08:24:13,12-07-2022
2 W,08:24:28,12-07-2022
13 W,08:24:41,12-07-2022
0 W,08:24:53,12-07-2022
9 W,08:25:09,12-07-2022
3 W,08:25:28,12-07-2022
15 W,08:25:40,12-07-2022
17 W,08:25:56,12-07-2022
3 W,08:26:08,12-07-2022
8 W,08:26:27,12-07-2022
2 W,08:26:40,12-07-2022
13 W,08:27:11,12-07-2022
2 W,08:27:27,12-07-2022
5 W,08:27:39,12-07-2022
9 W,08:27:55,12-07-2022
5 W,08:28:10,12-07-2022
7 W,08:28:26,12-07-2022
3 W,08:28:38,12-07-2022
8 W,08:28:54,12-07-2022
0 W,08:29:10,12-07-2022
6 W,08:29:28,12-07-2022
4 W,08:29:38,12-07-2022
8 W,08:29:53,12-07-2022
10 W,08:30:09,12-07-2022
13 W,08:30:28,12-07-2022
0 W,08:30:40,12-07-2022
25 W,08:30:56,12-07-2022
17 W,08:31:12,12-07-2022
6 W,08:31:27,12-07-2022
10 W,08:31:40,12-07-2022
0 W,08:31:55,12-07-2022
4 W,08:32:27,12-07-2022
1 W,08:32:39,12-07-2022
22 W,08:32:55,12-07-2022
20 W,08:33:10,12-07-2022
2 W,08:33:26,12-07-2022
14 W,08:33:38,12-07-2022
25 W,08:33:54,12-07-2022
6 W,08:34:10,12-07-2022
18 W,08:34:28,12-07-2022
16 W,08:34:38,12-07-2022
11 W,08:35:00,12-07-2022
6 W,08:35:09,12-07-2022
5 W,08:35:28,12-07-2022
34 W,08:35:53,12-07-2022
12 W,08:36:09,12-07-2022
23 W,08:36:27,12-07-2022
32 W,08:36:40,12-07-2022
31 W,08:36:55,12-07-2022
32 W,08:37:11,12-07-2022
40 W,08:37:27,12-07-2022
31 W,08:37:39,12-07-2022
41 W,08:37:55,12-07-2022
48 W,08:38:10,12-07-2022
33 W,08:38:26,12-07-2022
59 W,08:38:39,12-07-2022
42 W,08:38:57,12-07-2022
38 W,08:39:13,12-07-2022
66 W,08:39:28,12-07-2022
69 W,08:39:41,12-07-2022
67 W,08:39:54,12-07-2022
60 W,08:40:09,12-07-2022
51 W,08:40:28,12-07-2022
52 W,08:40:40,12-07-2022
49 W,08:40:53,12-07-2022
61 W,08:41:12,12-07-2022
39 W,08:41:27,12-07-2022
66 W,08:41:40,12-07-2022
43 W,08:41:55,12-07-2022
68 W,08:42:11,12-07-2022
41 W,08:42:27,12-07-2022
73 W,08:42:39,12-07-2022
78 W,08:42:55,12-07-2022
70 W,08:43:10,12-07-2022
51 W,08:43:26,12-07-2022
64 W,08:43:39,12-07-2022
79 W,08:43:54,12-07-2022
80 W,08:44:10,12-07-2022
71 W,08:44:29,12-07-2022
70 W,08:44:38,12-07-2022
85 W,08:44:54,12-07-2022
81 W,08:45:09,12-07-2022
109 W,08:45:28,12-07-2022
82 W,08:45:40,12-07-2022
116 W,08:45:53,12-07-2022
82 W,08:46:09,12-07-2022
87 W,08:46:27,12-07-2022
88 W,08:46:40,12-07-2022
93 W,08:46:55,12-07-2022
94 W,08:47:11,12-07-2022
103 W,08:47:27,12-07-2022
115 W,08:47:39,12-07-2022
114 W,08:47:55,12-07-2022
116 W,08:48:10,12-07-2022
125 W,08:48:26,12-07-2022
127 W,08:48:39,12-07-2022
128 W,08:48:54,12-07-2022
127 W,08:49:10,12-07-2022
135 W,08:49:29,12-07-2022
131 W,08:49:41,12-07-2022
138 W,08:49:54,12-07-2022
153 W,08:50:12,12-07-2022
142 W,08:50:28,12-07-2022
153 W,08:50:40,12-07-2022
178 W,08:50:56,12-07-2022
145 W,08:51:11,12-07-2022
153 W,08:51:27,12-07-2022
175 W,08:51:39,12-07-2022
144 W,08:51:55,12-07-2022
161 W,08:52:11,12-07-2022
182 W,08:52:26,12-07-2022
136 W,08:52:39,12-07-2022
139 W,08:52:54,12-07-2022
144 W,08:53:10,12-07-2022
152 W,08:53:29,12-07-2022
161 W,08:53:38,12-07-2022
147 W,08:54:09,12-07-2022
189 W,08:54:28,12-07-2022
174 W,08:54:41,12-07-2022
182 W,08:54:53,12-07-2022
156 W,08:55:09,12-07-2022
153 W,08:55:28,12-07-2022
165 W,08:55:40,12-07-2022
215 W,08:55:56,12-07-2022
200 W,08:56:11,12-07-2022
147 W,08:56:27,12-07-2022
64 W,08:56:39,12-07-2022
97 W,08:56:55,12-07-2022
139 W,08:57:11,12-07-2022
185 W,08:57:26,12-07-2022
190 W,08:57:39,12-07-2022
251 W,08:57:54,12-07-2022
239 W,08:58:10,12-07-2022
211 W,08:58:26,12-07-2022
239 W,08:58:38,12-07-2022
250 W,08:58:54,12-07-2022
242 W,08:59:09,12-07-2022
219 W,08:59:28,12-07-2022
223 W,08:59:41,12-07-2022
225 W,08:59:53,12-07-2022
244 W,09:00:09,12-07-2022
259 W,09:00:28,12-07-2022
261 W,09:00:40,12-07-2022
272 W,09:00:56,12-07-2022
249 W,09:01:11,12-07-2022
93 W,09:01:27,12-07-2022
205 W,09:01:43,12-07-2022
277 W,09:01:55,12-07-2022
246 W,09:01:58,12-07-2022
241 W,09:02:11,12-07-2022
249 W,09:02:26,12-07-2022
269 W,09:02:39,12-07-2022
284 W,09:02:54,12-07-2022
306 W,09:03:10,12-07-2022
304 W,09:03:29,12-07-2022
260 W,09:03:38,12-07-2022
249 W,09:03:54,12-07-2022
251 W,09:04:09,12-07-2022
189 W,09:04:28,12-07-2022
214 W,09:04:41,12-07-2022
181 W,09:04:53,12-07-2022
226 W,09:05:09,12-07-2022
239 W,09:05:28,12-07-2022
211 W,09:05:40,12-07-2022
218 W,09:05:56,12-07-2022
221 W,09:06:11,12-07-2022
169 W,09:06:27,12-07-2022
191 W,09:06:39,12-07-2022
217 W,09:06:55,12-07-2022
226 W,09:07:11,12-07-2022
224 W,09:07:26,12-07-2022
242 W,09:07:39,12-07-2022
275 W,09:07:54,12-07-2022
1997 W,09:08:10,12-07-2022
2022 W,09:08:29,12-07-2022
281 W,09:08:41,12-07-2022
295 W,09:08:54,12-07-2022
279 W,09:09:09,12-07-2022
294 W,09:09:28,12-07-2022
254 W,09:09:41,12-07-2022
250 W,09:09:56,12-07-2022
285 W,09:10:09,12-07-2022
330 W,09:10:28,12-07-2022
285 W,09:10:40,12-07-2022
317 W,09:10:56,12-07-2022
303 W,09:11:11,12-07-2022
285 W,09:11:27,12-07-2022
320 W,09:11:39,12-07-2022
325 W,09:11:55,12-07-2022
317 W,09:12:11,12-07-2022
275 W,09:12:26,12-07-2022
276 W,09:12:39,12-07-2022
293 W,09:12:54,12-07-2022
321 W,09:13:10,12-07-2022
327 W,09:13:29,12-07-2022
330 W,09:13:38,12-07-2022
320 W,09:13:54,12-07-2022
316 W,09:14:09,12-07-2022
343 W,09:14:28,12-07-2022
340 W,09:14:41,12-07-2022
353 W,09:14:53,12-07-2022
338 W,09:15:09,12-07-2022
269 W,09:15:28,12-07-2022
211 W,09:15:40,12-07-2022
320 W,09:15:56,12-07-2022
324 W,09:16:11,12-07-2022
341 W,09:16:27,12-07-2022
369 W,09:16:43,12-07-2022
274 W,09:16:55,12-07-2022
157 W,09:17:11,12-07-2022
191 W,09:17:26,12-07-2022
231 W,09:17:39,12-07-2022
279 W,09:17:55,12-07-2022
322 W,09:18:10,12-07-2022
302 W,09:18:26,12-07-2022
317 W,09:18:38,12-07-2022
340 W,09:18:54,12-07-2022
301 W,09:19:10,12-07-2022
300 W,09:19:28,12-07-2022
0 W,09:19:41,12-07-2022
635 W,09:19:53,12-07-2022
289 W,09:20:09,12-07-2022
272 W,09:20:28,12-07-2022
274 W,09:20:40,12-07-2022
257 W,09:20:56,12-07-2022
0 W,09:21:08,12-07-2022
2 W,09:21:27,12-07-2022
0 W,09:21:40,12-07-2022
6 W,09:21:55,12-07-2022
0 W,09:22:11,12-07-2022
50 W,09:24:53,12-07-2022
0 W,09:25:09,12-07-2022
1679 W,09:39:53,12-07-2022
643 W,09:40:09,12-07-2022
609 W,09:40:28,12-07-2022
702 W,09:40:40,12-07-2022
711 W,09:41:11,12-07-2022
673 W,09:41:27,12-07-2022
684 W,09:41:39,12-07-2022
723 W,09:41:55,12-07-2022
774 W,09:42:11,12-07-2022
721 W,09:42:26,12-07-2022
776 W,09:42:39,12-07-2022
811 W,09:42:54,12-07-2022
689 W,09:43:10,12-07-2022
713 W,09:43:29,12-07-2022
766 W,09:43:38,12-07-2022
817 W,09:43:54,12-07-2022
823 W,09:44:09,12-07-2022
806 W,09:44:28,12-07-2022
800 W,09:44:41,12-07-2022
811 W,09:44:53,12-07-2022
801 W,09:45:09,12-07-2022
809 W,09:45:27,12-07-2022
821 W,09:45:40,12-07-2022
831 W,09:45:56,12-07-2022
798 W,09:46:11,12-07-2022
809 W,09:46:39,12-07-2022
804 W,09:46:55,12-07-2022
800 W,09:47:11,12-07-2022
798 W,09:47:26,12-07-2022
842 W,09:47:39,12-07-2022
796 W,09:47:54,12-07-2022
778 W,09:48:10,12-07-2022
522 W,09:48:29,12-07-2022
685 W,09:48:41,12-07-2022
712 W,09:48:54,12-07-2022
754 W,09:49:09,12-07-2022
804 W,09:49:28,12-07-2022
618 W,09:49:41,12-07-2022
837 W,09:49:53,12-07-2022
927 W,09:50:09,12-07-2022
992 W,09:50:27,12-07-2022
1041 W,09:50:40,12-07-2022
1030 W,09:50:56,12-07-2022
1039 W,09:51:11,12-07-2022
1080 W,09:51:27,12-07-2022
1106 W,09:51:39,12-07-2022
1003 W,09:51:55,12-07-2022
1078 W,09:52:11,12-07-2022
1118 W,09:52:26,12-07-2022
1136 W,09:52:39,12-07-2022
1122 W,09:52:54,12-07-2022
1083 W,09:53:10,12-07-2022
1151 W,09:53:29,12-07-2022
1183 W,09:53:38,12-07-2022
1250 W,09:53:54,12-07-2022
1176 W,09:54:09,12-07-2022
1267 W,09:54:28,12-07-2022
1197 W,09:54:41,12-07-2022
1142 W,09:54:53,12-07-2022
1237 W,09:55:09,12-07-2022
1189 W,09:55:40,12-07-2022
1293 W,09:55:56,12-07-2022
1301 W,09:56:11,12-07-2022
1313 W,09:56:27,12-07-2022
1234 W,09:56:43,12-07-2022
1227 W,09:56:55,12-07-2022
1223 W,09:57:11,12-07-2022
1260 W,09:57:26,12-07-2022
1325 W,09:57:39,12-07-2022
1292 W,09:57:54,12-07-2022
1404 W,09:58:13,12-07-2022
1039 W,09:58:29,12-07-2022
1373 W,09:58:38,12-07-2022
1449 W,09:58:54,12-07-2022
1385 W,09:59:09,12-07-2022
1428 W,09:59:28,12-07-2022
1442 W,09:59:41,12-07-2022
1400 W,09:59:53,12-07-2022
1407 W,10:00:09,12-07-2022
1477 W,10:00:27,12-07-2022
1472 W,10:00:43,12-07-2022
1399 W,10:00:56,12-07-2022
1445 W,10:01:11,12-07-2022
1318 W,10:01:27,12-07-2022
1363 W,10:01:42,12-07-2022
1464 W,10:01:55,12-07-2022
1483 W,10:01:58,12-07-2022
1512 W,10:02:10,12-07-2022
1584 W,10:02:26,12-07-2022
1622 W,10:02:39,12-07-2022
1606 W,10:02:54,12-07-2022
1515 W,10:03:10,12-07-2022
1610 W,10:03:29,12-07-2022
1614 W,10:03:41,12-07-2022
1554 W,10:03:54,12-07-2022
1575 W,10:04:09,12-07-2022
1630 W,10:04:28,12-07-2022
1545 W,10:04:40,12-07-2022
1681 W,10:04:56,12-07-2022
1643 W,10:05:09,12-07-2022
1655 W,10:05:27,12-07-2022
1604 W,10:05:40,12-07-2022
1660 W,10:05:55,12-07-2022
1690 W,10:06:11,12-07-2022
1659 W,10:06:27,12-07-2022
1661 W,10:06:39,12-07-2022
1640 W,10:06:55,12-07-2022
1642 W,10:07:10,12-07-2022
1657 W,10:07:26,12-07-2022
1731 W,10:07:39,12-07-2022
1719 W,10:07:54,12-07-2022
1681 W,10:08:10,12-07-2022
1769 W,10:08:29,12-07-2022
3357 W,10:08:38,12-07-2022
3349 W,10:08:54,12-07-2022
1223 W,10:09:09,12-07-2022
1206 W,10:09:28,12-07-2022
1383 W,10:09:40,12-07-2022
1596 W,10:09:56,12-07-2022
1579 W,10:10:12,12-07-2022
1580 W,10:10:27,12-07-2022
1680 W,10:11:41,12-07-2022
1744 W,10:11:44,12-07-2022
1751 W,10:11:57,12-07-2022
1765 W,10:12:10,12-07-2022
1773 W,10:12:28,12-07-2022
1814 W,10:12:41,12-07-2022
1854 W,10:12:53,12-07-2022
1716 W,10:13:09,12-07-2022
1859 W,10:13:25,12-07-2022
1756 W,10:13:40,12-07-2022
1770 W,10:13:56,12-07-2022
1829 W,10:14:12,12-07-2022
1841 W,10:14:27,12-07-2022
1879 W,10:14:40,12-07-2022
1897 W,10:14:55,12-07-2022
1894 W,10:15:11,12-07-2022
1898 W,10:15:27,12-07-2022
1921 W,10:15:39,12-07-2022
1916 W,10:15:55,12-07-2022
1953 W,10:16:10,12-07-2022
1964 W,10:16:26,12-07-2022
1812 W,10:16:39,12-07-2022
1930 W,10:16:54,12-07-2022
195 W,10:17:10,12-07-2022
1832 W,10:17:29,12-07-2022
1888 W,10:17:38,12-07-2022
262 W,10:17:54,12-07-2022
460 W,10:18:09,12-07-2022
697 W,10:18:28,12-07-2022
1714 W,10:18:41,12-07-2022
1635 W,10:18:53,12-07-2022
1222 W,10:19:09,12-07-2022
1972 W,10:19:27,12-07-2022
2018 W,10:19:40,12-07-2022
1990 W,10:19:56,12-07-2022
2005 W,10:20:39,12-07-2022
2041 W,10:20:55,12-07-2022
2008 W,10:21:14,12-07-2022
2069 W,10:21:26,12-07-2022
2057 W,10:21:39,12-07-2022
1903 W,10:21:54,12-07-2022
2025 W,10:22:13,12-07-2022
1932 W,10:22:29,12-07-2022
1996 W,10:22:38,12-07-2022
2079 W,10:22:54,12-07-2022
2055 W,10:23:09,12-07-2022
2056 W,10:23:28,12-07-2022
2076 W,10:23:41,12-07-2022
2000 W,10:23:53,12-07-2022
2023 W,10:24:09,12-07-2022
2034 W,10:24:28,12-07-2022
2001 W,10:24:43,12-07-2022
2097 W,10:24:56,12-07-2022
2111 W,10:25:11,12-07-2022
2098 W,10:25:27,12-07-2022
2063 W,10:25:39,12-07-2022
2085 W,10:25:55,12-07-2022
2121 W,10:26:11,12-07-2022
2152 W,10:26:26,12-07-2022
2165 W,10:26:39,12-07-2022
2174 W,10:26:55,12-07-2022
2180 W,10:27:10,12-07-2022
2176 W,10:27:29,12-07-2022
2214 W,10:27:38,12-07-2022
2198 W,10:27:54,12-07-2022
2225 W,10:28:10,12-07-2022
2154 W,10:28:28,12-07-2022
2187 W,10:28:41,12-07-2022
2237 W,10:28:53,12-07-2022
2291 W,10:29:09,12-07-2022
2276 W,10:29:28,12-07-2022
2227 W,10:29:40,12-07-2022
2287 W,10:29:56,12-07-2022
2272 W,10:30:11,12-07-2022
2255 W,10:30:27,12-07-2022
2273 W,10:30:43,12-07-2022
2289 W,10:30:55,12-07-2022
2292 W,10:31:11,12-07-2022
2281 W,10:31:26,12-07-2022
2324 W,10:31:39,12-07-2022
2337 W,10:31:54,12-07-2022
2362 W,10:32:10,12-07-2022
2311 W,10:32:29,12-07-2022
2325 W,10:32:38,12-07-2022
2353 W,10:32:54,12-07-2022
2379 W,10:33:09,12-07-2022
2380 W,10:33:28,12-07-2022
2396 W,10:33:41,12-07-2022
2384 W,10:33:53,12-07-2022
2408 W,10:34:09,12-07-2022
2374 W,10:34:28,12-07-2022
2328 W,10:34:40,12-07-2022
2333 W,10:34:56,12-07-2022
2276 W,10:35:11,12-07-2022
2297 W,10:35:27,12-07-2022
2332 W,10:35:43,12-07-2022
2375 W,10:35:55,12-07-2022
2319 W,10:36:11,12-07-2022
2416 W,10:36:26,12-07-2022
2405 W,10:36:39,12-07-2022
2341 W,10:36:54,12-07-2022
2406 W,10:37:10,12-07-2022
2370 W,10:37:29,12-07-2022
2435 W,10:37:38,12-07-2022
2389 W,10:37:54,12-07-2022
2465 W,10:38:09,12-07-2022
2418 W,10:38:28,12-07-2022
2474 W,10:38:41,12-07-2022
2487 W,10:38:53,12-07-2022
2488 W,10:39:09,12-07-2022
2474 W,10:39:28,12-07-2022
2099 W,10:39:40,12-07-2022
2490 W,10:39:56,12-07-2022
2488 W,10:40:11,12-07-2022
2532 W,10:40:27,12-07-2022
2502 W,10:40:39,12-07-2022
2508 W,10:40:55,12-07-2022
2517 W,10:41:11,12-07-2022
2541 W,10:41:26,12-07-2022
2514 W,10:41:39,12-07-2022
2518 W,10:41:54,12-07-2022
2493 W,10:42:10,12-07-2022
2468 W,10:42:29,12-07-2022
2539 W,10:42:38,12-07-2022
2568 W,10:42:54,12-07-2022
2565 W,10:43:09,12-07-2022
2496 W,10:43:28,12-07-2022
2519 W,10:43:41,12-07-2022
2542 W,10:43:53,12-07-2022
537 W,10:44:09,12-07-2022
2503 W,10:44:28,12-07-2022
548 W,10:44:40,12-07-2022
500 W,10:44:56,12-07-2022
81 W,10:45:11,12-07-2022
390 W,10:45:27,12-07-2022
485 W,10:45:39,12-07-2022
534 W,10:45:55,12-07-2022
518 W,10:46:11,12-07-2022
455 W,10:46:26,12-07-2022
461 W,10:46:39,12-07-2022
467 W,10:46:54,12-07-2022
552 W,10:47:10,12-07-2022
450 W,10:47:29,12-07-2022
476 W,10:47:38,12-07-2022
564 W,10:47:54,12-07-2022
558 W,10:48:09,12-07-2022
590 W,10:48:28,12-07-2022
614 W,10:48:41,12-07-2022
593 W,10:48:59,12-07-2022
627 W,10:49:09,12-07-2022
652 W,10:49:28,12-07-2022
695 W,10:49:40,12-07-2022
686 W,10:49:56,12-07-2022
557 W,10:50:11,12-07-2022
596 W,10:50:27,12-07-2022
606 W,10:50:39,12-07-2022
533 W,10:50:55,12-07-2022
552 W,10:51:11,12-07-2022
633 W,10:51:26,12-07-2022
662 W,10:51:39,12-07-2022
614 W,10:51:56,12-07-2022
466 W,10:52:12,12-07-2022
572 W,10:52:27,12-07-2022
623 W,10:52:40,12-07-2022
721 W,10:52:55,12-07-2022
706 W,10:53:11,12-07-2022
737 W,10:53:27,12-07-2022
740 W,10:53:39,12-07-2022
793 W,10:53:55,12-07-2022
760 W,10:54:10,12-07-2022
782 W,10:54:26,12-07-2022
778 W,10:54:38,12-07-2022
848 W,10:54:54,12-07-2022
843 W,10:55:10,12-07-2022
834 W,10:55:28,12-07-2022
859 W,10:55:41,12-07-2022
847 W,10:55:53,12-07-2022
921 W,10:56:09,12-07-2022
864 W,10:56:28,12-07-2022
854 W,10:56:40,12-07-2022
853 W,10:56:56,12-07-2022
815 W,10:57:12,12-07-2022
910 W,10:57:27,12-07-2022
734 W,10:57:40,12-07-2022
732 W,10:57:55,12-07-2022
872 W,10:58:11,12-07-2022
821 W,10:58:27,12-07-2022
870 W,10:58:39,12-07-2022
853 W,10:58:55,12-07-2022
864 W,10:59:10,12-07-2022
877 W,10:59:26,12-07-2022
833 W,10:59:38,12-07-2022
898 W,10:59:54,12-07-2022
878 W,11:00:10,12-07-2022
1119 W,11:00:28,12-07-2022
961 W,11:00:41,12-07-2022
1009 W,11:00:53,12-07-2022
950 W,11:01:09,12-07-2022
923 W,11:01:28,12-07-2022
978 W,11:01:40,12-07-2022
1005 W,11:01:56,12-07-2022
991 W,11:02:12,12-07-2022
2879 W,11:02:24,12-07-2022
2860 W,11:02:40,12-07-2022
2857 W,11:02:55,12-07-2022
2922 W,11:03:11,12-07-2022
2958 W,11:03:27,12-07-2022
3027 W,11:03:39,12-07-2022
3067 W,11:03:55,12-07-2022
3080 W,11:04:10,12-07-2022
456 W,11:04:26,12-07-2022
19 W,11:04:38,12-07-2022
92 W,11:04:54,12-07-2022
0 W,11:05:10,12-07-2022
205 W,11:05:28,12-07-2022
80 W,11:05:41,12-07-2022
451 W,11:05:53,12-07-2022
824 W,11:06:09,12-07-2022
947 W,11:06:28,12-07-2022
1107 W,11:06:40,12-07-2022
1201 W,11:06:56,12-07-2022
1081 W,11:07:12,12-07-2022
1130 W,11:07:27,12-07-2022
1173 W,11:07:40,12-07-2022
1186 W,11:07:55,12-07-2022
