Wert,Zeit,Datum
1 W,05:45:35,12-07-2022
2 W,05:45:53,12-07-2022
1 W,05:46:06,12-07-2022
6 W,05:46:18,12-07-2022
1 W,05:46:34,12-07-2022
6 W,05:46:53,12-07-2022
0 W,05:47:08,12-07-2022
4 W,05:47:21,12-07-2022
2 W,05:47:36,12-07-2022
4 W,05:48:08,12-07-2022
6 W,05:48:23,12-07-2022
2 W,05:48:36,12-07-2022
0 W,05:48:51,12-07-2022
6 W,05:49:29,12-07-2022
9 W,05:49:35,12-07-2022
11 W,05:49:54,12-07-2022
2 W,05:50:06,12-07-2022
1 W,05:50:19,12-07-2022
7 W,05:50:53,12-07-2022
5 W,05:51:06,12-07-2022
3 W,05:51:18,12-07-2022
6 W,05:51:52,12-07-2022
4 W,05:52:20,12-07-2022
3 W,05:52:33,12-07-2022
7 W,05:52:52,12-07-2022
5 W,05:53:07,12-07-2022
8 W,05:53:35,12-07-2022
12 W,05:53:51,12-07-2022
10 W,05:54:07,12-07-2022
4 W,05:54:19,12-07-2022
7 W,05:54:53,12-07-2022
8 W,05:55:06,12-07-2022
9 W,05:55:18,12-07-2022
8 W,05:55:34,12-07-2022
9 W,05:55:53,12-07-2022
3 W,05:56:05,12-07-2022
12 W,05:56:21,12-07-2022
8 W,05:56:33,12-07-2022
9 W,05:56:52,12-07-2022
15 W,05:57:08,12-07-2022
9 W,05:57:20,12-07-2022
8 W,05:57:36,12-07-2022
11 W,05:57:51,12-07-2022
4 W,05:58:07,12-07-2022
12 W,05:58:19,12-07-2022
7 W,05:58:35,12-07-2022
9 W,05:59:06,12-07-2022
10 W,05:59:19,12-07-2022
11 W,05:59:34,12-07-2022
9 W,05:59:53,12-07-2022
6 W,06:00:09,12-07-2022
11 W,06:00:18,12-07-2022
9 W,06:00:34,12-07-2022
12 W,06:00:53,12-07-2022
4 W,06:01:08,12-07-2022
6 W,06:01:21,12-07-2022
23 W,06:01:33,12-07-2022
19 W,06:02:07,12-07-2022
18 W,06:02:20,12-07-2022
15 W,06:02:36,12-07-2022
10 W,06:02:51,12-07-2022
5 W,06:03:07,12-07-2022
15 W,06:03:19,12-07-2022
12 W,06:03:35,12-07-2022
13 W,06:03:50,12-07-2022
10 W,06:04:06,12-07-2022
14 W,06:04:19,12-07-2022
5 W,06:05:06,12-07-2022
13 W,06:05:18,12-07-2022
11 W,06:05:52,12-07-2022
18 W,06:06:08,12-07-2022
10 W,06:06:20,12-07-2022
20 W,06:06:33,12-07-2022
7 W,06:06:52,12-07-2022
15 W,06:07:07,12-07-2022
19 W,06:07:23,12-07-2022
14 W,06:07:35,12-07-2022
16 W,06:07:51,12-07-2022
17 W,06:08:07,12-07-2022
10 W,06:08:22,12-07-2022
16 W,06:08:35,12-07-2022
13 W,06:08:50,12-07-2022
18 W,06:09:06,12-07-2022
11 W,06:09:19,12-07-2022
14 W,06:09:34,12-07-2022
12 W,06:09:53,12-07-2022
14 W,06:10:05,12-07-2022
13 W,06:10:21,12-07-2022
19 W,06:10:33,12-07-2022
15 W,06:10:52,12-07-2022
14 W,06:11:08,12-07-2022
18 W,06:11:20,12-07-2022
15 W,06:11:36,12-07-2022
63 W,06:12:07,12-07-2022
65 W,06:12:20,12-07-2022
77 W,06:12:38,12-07-2022
81 W,06:12:51,12-07-2022
77 W,06:13:07,12-07-2022
75 W,06:13:19,12-07-2022
80 W,06:13:35,12-07-2022
81 W,06:14:06,12-07-2022
83 W,06:14:37,12-07-2022
78 W,06:14:53,12-07-2022
81 W,06:15:08,12-07-2022
79 W,06:15:21,12-07-2022
86 W,06:15:52,12-07-2022
84 W,06:16:08,12-07-2022
85 W,06:16:20,12-07-2022
83 W,06:17:07,12-07-2022
82 W,06:17:23,12-07-2022
83 W,06:17:38,12-07-2022
84 W,06:18:06,12-07-2022
82 W,06:18:19,12-07-2022
85 W,06:18:34,12-07-2022
84 W,06:18:53,12-07-2022
85 W,06:19:06,12-07-2022
86 W,06:19:18,12-07-2022
84 W,06:19:34,12-07-2022
86 W,06:19:52,12-07-2022
85 W,06:20:08,12-07-2022
87 W,06:20:21,12-07-2022
88 W,06:20:33,12-07-2022
87 W,06:20:52,12-07-2022
88 W,06:21:07,12-07-2022
93 W,06:21:20,12-07-2022
92 W,06:21:36,12-07-2022
106 W,06:22:07,12-07-2022
104 W,06:22:22,12-07-2022
103 W,06:22:35,12-07-2022
94 W,06:22:50,12-07-2022
92 W,06:23:06,12-07-2022
98 W,06:23:19,12-07-2022
97 W,06:23:34,12-07-2022
92 W,06:23:53,12-07-2022
96 W,06:24:09,12-07-2022
97 W,06:24:18,12-07-2022
99 W,06:24:34,12-07-2022
101 W,06:25:08,12-07-2022
103 W,06:25:36,12-07-2022
102 W,06:26:07,12-07-2022
106 W,06:26:20,12-07-2022
109 W,06:26:35,12-07-2022
105 W,06:26:51,12-07-2022
104 W,06:27:10,12-07-2022
105 W,06:27:19,12-07-2022
99 W,06:27:35,12-07-2022
103 W,06:27:53,12-07-2022
106 W,06:28:18,12-07-2022
107 W,06:28:34,12-07-2022
104 W,06:28:53,12-07-2022
99 W,06:29:08,12-07-2022
104 W,06:29:21,12-07-2022
101 W,06:29:37,12-07-2022
99 W,06:29:52,12-07-2022
104 W,06:30:08,12-07-2022
102 W,06:30:20,12-07-2022
95 W,06:30:36,12-07-2022
94 W,06:30:52,12-07-2022
88 W,06:31:07,12-07-2022
89 W,06:31:23,12-07-2022
86 W,06:31:35,12-07-2022
80 W,06:32:06,12-07-2022
84 W,06:32:35,12-07-2022
83 W,06:32:53,12-07-2022
80 W,06:33:06,12-07-2022
81 W,06:33:18,12-07-2022
82 W,06:33:34,12-07-2022
81 W,06:33:53,12-07-2022
80 W,06:34:08,12-07-2022
82 W,06:34:21,12-07-2022
78 W,06:34:33,12-07-2022
80 W,06:34:52,12-07-2022
85 W,06:35:08,12-07-2022
86 W,06:35:23,12-07-2022
81 W,06:35:36,12-07-2022
87 W,06:35:51,12-07-2022
89 W,06:36:07,12-07-2022
91 W,06:36:19,12-07-2022
89 W,06:36:35,12-07-2022
90 W,06:36:51,12-07-2022
88 W,06:37:19,12-07-2022
91 W,06:37:37,12-07-2022
89 W,06:37:53,12-07-2022
87 W,06:38:05,12-07-2022
90 W,06:38:18,12-07-2022
89 W,06:38:52,12-07-2022
94 W,06:39:08,12-07-2022
97 W,06:39:52,12-07-2022
96 W,06:40:07,12-07-2022
91 W,06:40:23,12-07-2022
98 W,06:40:35,12-07-2022
96 W,06:40:51,12-07-2022
98 W,06:41:07,12-07-2022
100 W,06:41:19,12-07-2022
98 W,06:41:35,12-07-2022
101 W,06:42:06,12-07-2022
98 W,06:42:19,12-07-2022
102 W,06:42:37,12-07-2022
103 W,06:42:53,12-07-2022
104 W,06:43:05,12-07-2022
98 W,06:43:18,12-07-2022
104 W,06:43:34,12-07-2022
101 W,06:44:08,12-07-2022
97 W,06:44:20,12-07-2022
99 W,06:44:33,12-07-2022
102 W,06:44:52,12-07-2022
103 W,06:45:07,12-07-2022
102 W,06:45:20,12-07-2022
106 W,06:45:51,12-07-2022
111 W,06:46:07,12-07-2022
112 W,06:46:22,12-07-2022
108 W,06:46:35,12-07-2022
106 W,06:46:53,12-07-2022
108 W,06:47:06,12-07-2022
112 W,06:47:18,12-07-2022
116 W,06:47:34,12-07-2022
110 W,06:47:53,12-07-2022
113 W,06:48:08,12-07-2022
112 W,06:48:21,12-07-2022
110 W,06:49:20,12-07-2022
112 W,06:49:36,12-07-2022
113 W,06:50:07,12-07-2022
116 W,06:50:20,12-07-2022
113 W,06:50:35,12-07-2022
119 W,06:51:06,12-07-2022
116 W,06:51:22,12-07-2022
124 W,06:51:38,12-07-2022
123 W,06:51:53,12-07-2022
122 W,06:52:06,12-07-2022
128 W,06:52:18,12-07-2022
129 W,06:52:53,12-07-2022
137 W,06:53:08,12-07-2022
140 W,06:53:21,12-07-2022
136 W,06:53:33,12-07-2022
139 W,06:54:08,12-07-2022
140 W,06:54:20,12-07-2022
144 W,06:54:36,12-07-2022
146 W,06:54:52,12-07-2022
148 W,06:55:08,12-07-2022
150 W,06:55:20,12-07-2022
145 W,06:55:36,12-07-2022
144 W,06:56:07,12-07-2022
151 W,06:56:20,12-07-2022
156 W,06:56:35,12-07-2022
160 W,06:56:51,12-07-2022
167 W,06:57:07,12-07-2022
169 W,06:57:19,12-07-2022
175 W,06:57:35,12-07-2022
174 W,06:57:53,12-07-2022
171 W,06:58:22,12-07-2022
170 W,06:58:34,12-07-2022
172 W,06:58:53,12-07-2022
171 W,06:59:08,12-07-2022
172 W,06:59:21,12-07-2022
166 W,06:59:33,12-07-2022
167 W,06:59:52,12-07-2022
166 W,07:00:08,12-07-2022
163 W,07:00:20,12-07-2022
162 W,07:00:36,12-07-2022
164 W,07:00:51,12-07-2022
168 W,07:01:07,12-07-2022
174 W,07:01:19,12-07-2022
171 W,07:01:35,12-07-2022
177 W,07:02:06,12-07-2022
178 W,07:02:19,12-07-2022
177 W,07:02:34,12-07-2022
178 W,07:02:53,12-07-2022
180 W,07:03:06,12-07-2022
187 W,07:03:18,12-07-2022
200 W,07:03:34,12-07-2022
203 W,07:03:52,12-07-2022
204 W,07:04:08,12-07-2022
203 W,07:04:21,12-07-2022
205 W,07:04:52,12-07-2022
209 W,07:05:07,12-07-2022
211 W,07:05:20,12-07-2022
214 W,07:05:35,12-07-2022
220 W,07:05:51,12-07-2022
221 W,07:06:07,12-07-2022
220 W,07:06:35,12-07-2022
219 W,07:06:50,12-07-2022
223 W,07:07:06,12-07-2022
222 W,07:07:18,12-07-2022
223 W,07:07:34,12-07-2022
226 W,07:07:53,12-07-2022
227 W,07:08:21,12-07-2022
230 W,07:08:52,12-07-2022
229 W,07:09:36,12-07-2022
234 W,07:09:52,12-07-2022
232 W,07:10:07,12-07-2022
235 W,07:10:23,12-07-2022
234 W,07:10:35,12-07-2022
232 W,07:10:51,12-07-2022
230 W,07:11:06,12-07-2022
227 W,07:11:19,12-07-2022
224 W,07:12:06,12-07-2022
232 W,07:12:18,12-07-2022
230 W,07:12:34,12-07-2022
232 W,07:12:53,12-07-2022
238 W,07:13:21,12-07-2022
241 W,07:13:33,12-07-2022
243 W,07:14:08,12-07-2022
247 W,07:14:20,12-07-2022
248 W,07:14:36,12-07-2022
247 W,07:14:51,12-07-2022
249 W,07:15:07,12-07-2022
251 W,07:15:19,12-07-2022
250 W,07:15:35,12-07-2022
251 W,07:15:51,12-07-2022
249 W,07:16:34,12-07-2022
253 W,07:16:53,12-07-2022
257 W,07:17:06,12-07-2022
258 W,07:17:21,12-07-2022
256 W,07:17:34,12-07-2022
258 W,07:18:08,12-07-2022
261 W,07:18:21,12-07-2022
260 W,07:18:33,12-07-2022
258 W,07:18:52,12-07-2022
260 W,07:19:07,12-07-2022
261 W,07:19:35,12-07-2022
263 W,07:19:51,12-07-2022
264 W,07:20:07,12-07-2022
266 W,07:20:35,12-07-2022
270 W,07:21:06,12-07-2022
273 W,07:21:18,12-07-2022
274 W,07:21:37,12-07-2022
275 W,07:21:53,12-07-2022
280 W,07:22:05,12-07-2022
284 W,07:22:21,12-07-2022
285 W,07:22:33,12-07-2022
286 W,07:22:52,12-07-2022
288 W,07:23:08,12-07-2022
294 W,07:23:20,12-07-2022
296 W,07:23:36,12-07-2022
303 W,07:24:07,12-07-2022
306 W,07:24:20,12-07-2022
303 W,07:24:38,12-07-2022
310 W,07:24:51,12-07-2022
312 W,07:25:06,12-07-2022
317 W,07:25:35,12-07-2022
319 W,07:25:53,12-07-2022
318 W,07:26:06,12-07-2022
323 W,07:26:21,12-07-2022
325 W,07:26:34,12-07-2022
327 W,07:26:53,12-07-2022
329 W,07:27:08,12-07-2022
331 W,07:27:21,12-07-2022
340 W,07:27:33,12-07-2022
339 W,07:27:52,12-07-2022
343 W,07:28:08,12-07-2022
345 W,07:28:23,12-07-2022
348 W,07:28:36,12-07-2022
351 W,07:28:51,12-07-2022
349 W,07:29:07,12-07-2022
357 W,07:29:22,12-07-2022
358 W,07:29:35,12-07-2022
364 W,07:30:06,12-07-2022
365 W,07:30:22,12-07-2022
372 W,07:30:34,12-07-2022
377 W,07:31:05,12-07-2022
379 W,07:31:18,12-07-2022
383 W,07:31:37,12-07-2022
390 W,07:32:08,12-07-2022
388 W,07:32:20,12-07-2022
392 W,07:32:36,12-07-2022
398 W,07:32:52,12-07-2022
402 W,07:33:07,12-07-2022
407 W,07:33:23,12-07-2022
411 W,07:33:35,12-07-2022
413 W,07:33:51,12-07-2022
419 W,07:34:06,12-07-2022
414 W,07:34:22,12-07-2022
422 W,07:34:38,12-07-2022
427 W,07:34:53,12-07-2022
434 W,07:35:21,12-07-2022
436 W,07:35:37,12-07-2022
439 W,07:35:53,12-07-2022
443 W,07:36:05,12-07-2022
445 W,07:36:21,12-07-2022
454 W,07:36:33,12-07-2022
458 W,07:36:52,12-07-2022
462 W,07:37:08,12-07-2022
465 W,07:37:20,12-07-2022
467 W,07:37:36,12-07-2022
469 W,07:37:51,12-07-2022
476 W,07:38:07,12-07-2022
478 W,07:38:23,12-07-2022
483 W,07:38:35,12-07-2022
487 W,07:38:51,12-07-2022
490 W,07:39:06,12-07-2022
495 W,07:39:19,12-07-2022
501 W,07:39:38,12-07-2022
504 W,07:39:53,12-07-2022
507 W,07:40:06,12-07-2022
508 W,07:40:18,12-07-2022
518 W,07:40:34,12-07-2022
522 W,07:40:52,12-07-2022
526 W,07:41:08,12-07-2022
529 W,07:41:21,12-07-2022
533 W,07:41:33,12-07-2022
534 W,07:42:07,12-07-2022
545 W,07:42:20,12-07-2022
549 W,07:42:51,12-07-2022
624.1375 W,07:47:10,12-07-2022
634.1375 W,07:47:19,12-07-2022
635.452 W,07:47:38,12-07-2022
638.019 W,07:47:51,12-07-2022
645.0035 W,07:48:06,12-07-2022
655.854 W,07:48:19,12-07-2022
658.2509 W,07:48:34,12-07-2022
662.7080000000001 W,07:48:53,12-07-2022
669.7295 W,07:49:06,12-07-2022
673.99175 W,07:49:18,12-07-2022
677.1405 W,07:49:34,12-07-2022
592 W,07:49:53,12-07-2022
689.5945 W,07:50:08,12-07-2022
691.3675000000001 W,07:50:21,12-07-2022
699.88 W,07:50:33,12-07-2022
703.7735 W,07:50:52,12-07-2022
708.6184 W,07:51:08,12-07-2022
709.6184 W,07:51:20,12-07-2022
718.164 W,07:51:36,12-07-2022
721.2207999999999 W,07:51:51,12-07-2022
725.2208 W,07:52:07,12-07-2022
734.145745 W,07:52:19,12-07-2022
737.2442500000001 W,07:52:35,12-07-2022
742.6422 W,07:52:51,12-07-2022
752.6422 W,07:53:06,12-07-2022
663 W,07:53:19,12-07-2022
760.3734545454546 W,07:53:34,12-07-2022
763.56205 W,07:53:53,12-07-2022
770.5853500000001 W,07:54:06,12-07-2022
774.5279 W,07:54:18,12-07-2022
777.8935 W,07:54:34,12-07-2022
832.8674 W,07:54:53,12-07-2022
785.7274500000001 W,07:55:08,12-07-2022
787.5884500000001 W,07:55:21,12-07-2022
794.5566000000001 W,07:55:33,12-07-2022
796.0759 W,07:55:52,12-07-2022
802.519 W,07:56:08,12-07-2022
809.172 W,07:56:23,12-07-2022
816.4 W,07:56:36,12-07-2022
818.74 W,07:56:51,12-07-2022
822.47605 W,07:57:07,12-07-2022
828.13375 W,07:57:20,12-07-2022
832.1908 W,07:57:35,12-07-2022
836.8634999999999 W,07:57:51,12-07-2022
843.0348000000001 W,07:58:06,12-07-2022
842.6351 W,07:58:19,12-07-2022
850.0641 W,07:58:35,12-07-2022
854.1941999999999 W,07:58:53,12-07-2022
862.9656 W,07:59:06,12-07-2022
685 W,07:59:22,12-07-2022
869.02275 W,07:59:37,12-07-2022
695 W,07:59:53,12-07-2022
877.0360000000001 W,08:00:08,12-07-2022
887.8960000000001 W,08:00:21,12-07-2022
896.2096 W,08:00:33,12-07-2022
899.7687500000001 W,08:00:52,12-07-2022
905.65425 W,08:01:08,12-07-2022
910.88325 W,08:01:20,12-07-2022
913.1389999999999 W,08:01:33,12-07-2022
924.3285999999998 W,08:02:07,12-07-2022
927.9848 W,08:02:20,12-07-2022
935.7556 W,08:02:35,12-07-2022
756 W,08:02:51,12-07-2022
943.4613333333334 W,08:03:07,12-07-2022
948.0862500000001 W,08:03:19,12-07-2022
955.77445 W,08:03:35,12-07-2022
956.958 W,08:03:54,12-07-2022
965.6136 W,08:04:06,12-07-2022
972.9005999999999 W,08:04:19,12-07-2022
979.1302000000001 W,08:04:34,12-07-2022
983.3463000000002 W,08:04:53,12-07-2022
992.4612000000001 W,08:05:06,12-07-2022
983.1591500000001 W,08:05:18,12-07-2022
982.2837225000001 W,08:05:34,12-07-2022
770 W,08:05:53,12-07-2022
1002.445 W,08:06:08,12-07-2022
1013.3441499999999 W,08:06:21,12-07-2022
1012.1931499999998 W,08:06:36,12-07-2022
1015.4740499999999 W,08:06:52,12-07-2022
1025.73275 W,08:07:08,12-07-2022
1031.5248000000001 W,08:07:20,12-07-2022
935.6188925 W,08:07:36,12-07-2022
1059 W,08:07:51,12-07-2022
1098.035135 W,08:08:07,12-07-2022
1038.0264600000003 W,08:08:23,12-07-2022
1062.87375 W,08:08:35,12-07-2022
1036.816 W,08:08:51,12-07-2022
1062.5828999999999 W,08:09:06,12-07-2022
1059.44571 W,08:09:19,12-07-2022
1071.6572450000006 W,08:09:34,12-07-2022
1058.8908000000001 W,08:09:53,12-07-2022
1070.6580000000001 W,08:10:06,12-07-2022
1090.6410999999998 W,08:10:18,12-07-2022
1084.4054 W,08:10:34,12-07-2022
1105.3421799999996 W,08:10:53,12-07-2022
1096.4128999999998 W,08:11:08,12-07-2022
1102.1740000000004 W,08:11:21,12-07-2022
1108.9837500000003 W,08:11:36,12-07-2022
1120.9275000000002 W,08:12:08,12-07-2022
1123.903 W,08:12:20,12-07-2022
1140.2399999999998 W,08:12:36,12-07-2022
1133.1126500000003 W,08:12:51,12-07-2022
1150.0658 W,08:13:07,12-07-2022
1142.3975 W,08:13:19,12-07-2022
1153.3361999999997 W,08:13:35,12-07-2022
1172.295 W,08:13:51,12-07-2022
1165.2433500000002 W,08:14:06,12-07-2022
915.7970849999999 W,08:14:19,12-07-2022
1208 W,08:14:34,12-07-2022
1208.528 W,08:14:53,12-07-2022
1185.66625 W,08:15:09,12-07-2022
1137.5375049999998 W,08:15:21,12-07-2022
1261.3759999999997 W,08:15:34,12-07-2022
1215.3689000000002 W,08:15:52,12-07-2022
1210.9494 W,08:16:08,12-07-2022
1228.8105000000003 W,08:16:21,12-07-2022
1212.1909000000003 W,08:16:33,12-07-2022
1247.6970000000001 W,08:16:52,12-07-2022
1235.0364499999998 W,08:17:07,12-07-2022
1247.9488000000001 W,08:17:23,12-07-2022
1241.9796999999999 W,08:17:36,12-07-2022
1250.277 W,08:17:51,12-07-2022
1237.8912000000005 W,08:18:07,12-07-2022
1262.88375 W,08:18:19,12-07-2022
1267.8241999999996 W,08:18:35,12-07-2022
1280.4645499999997 W,08:18:51,12-07-2022
1278.4425999999999 W,08:19:06,12-07-2022
1298.4571999999998 W,08:19:19,12-07-2022
1287.6184000000003 W,08:19:34,12-07-2022
1297.809 W,08:19:53,12-07-2022
1299.878 W,08:20:06,12-07-2022
1306.6857899999995 W,08:20:21,12-07-2022
1311.978 W,08:20:34,12-07-2022
1327.0538999999999 W,08:20:53,12-07-2022
1327.05264 W,08:21:08,12-07-2022
1329.9051000000004 W,08:21:21,12-07-2022
1336.60325 W,08:21:33,12-07-2022
1337.3463999999994 W,08:21:52,12-07-2022
1311.4738500000003 W,08:22:08,12-07-2022
1320.4697199999996 W,08:22:20,12-07-2022
1360.4386 W,08:22:36,12-07-2022
1365.7338000000004 W,08:22:51,12-07-2022
520 W,08:23:07,12-07-2022
1371.8 W,08:23:20,12-07-2022
1386.0595 W,08:23:35,12-07-2022
1397.34065 W,08:23:51,12-07-2022
1395.4301499999997 W,08:24:06,12-07-2022
1386.65645 W,08:24:19,12-07-2022
1400.5224000000003 W,08:24:35,12-07-2022
1406.2480000000003 W,08:24:53,12-07-2022
1424.7472999999995 W,08:25:06,12-07-2022
1416.3655999999996 W,08:25:18,12-07-2022
1429.3417500000003 W,08:25:34,12-07-2022
1572.1408000000001 W,08:25:53,12-07-2022
561 W,08:26:08,12-07-2022
1444.2851 W,08:26:21,12-07-2022
1437.1848000000005 W,08:26:33,12-07-2022
1453.351 W,08:26:52,12-07-2022
1457.8647500000002 W,08:27:08,12-07-2022
1470.7876999999999 W,08:27:20,12-07-2022
1478.2705999999998 W,08:27:36,12-07-2022
1479.5505000000003 W,08:27:52,12-07-2022
1491.2462500000001 W,08:28:07,12-07-2022
1504.1484999999998 W,08:28:20,12-07-2022
1512.8431999999996 W,08:28:35,12-07-2022
1513.17855 W,08:28:51,12-07-2022
1502.1061849999999 W,08:29:07,12-07-2022
1529.5376999999999 W,08:29:22,12-07-2022
559 W,08:29:38,12-07-2022
1551.96 W,08:29:53,12-07-2022
1544.2328750000001 W,08:30:06,12-07-2022
1536.463 W,08:30:18,12-07-2022
1544.6978 W,08:30:34,12-07-2022
1556.53265 W,08:30:53,12-07-2022
1572.8576000000003 W,08:31:05,12-07-2022
1560.4543525000008 W,08:31:21,12-07-2022
1571.7699999999998 W,08:31:33,12-07-2022
1590.68 W,08:32:08,12-07-2022
1592.9620999999997 W,08:32:20,12-07-2022
594 W,08:32:36,12-07-2022
1610.3662000000004 W,08:32:52,12-07-2022
1619.138445 W,08:33:07,12-07-2022
1626.6464999999998 W,08:33:20,12-07-2022
1628.313665 W,08:33:35,12-07-2022
1638.9679999999998 W,08:33:51,12-07-2022
1659.0832899999996 W,08:34:07,12-07-2022
1669.9774499999999 W,08:34:19,12-07-2022
1681.2285000000002 W,08:34:38,12-07-2022
1685.31975 W,08:34:54,12-07-2022
1666.5357500000005 W,08:35:06,12-07-2022
1683.2867999999996 W,08:35:22,12-07-2022
588 W,08:35:34,12-07-2022
1693.219 W,08:35:53,12-07-2022
1565.984375 W,08:36:05,12-07-2022
1704.6836 W,08:36:21,12-07-2022
1713.6200000000001 W,08:36:34,12-07-2022
1717.2340000000002 W,08:36:52,12-07-2022
1718.4179999999997 W,08:37:08,12-07-2022
1733.2026999999998 W,08:37:20,12-07-2022
1733.60413 W,08:37:33,12-07-2022
1751.5768000000003 W,08:37:52,12-07-2022
1750.3940000000005 W,08:38:07,12-07-2022
1766.187 W,08:38:20,12-07-2022
1777.30175 W,08:38:35,12-07-2022
1771.6858149999996 W,08:38:51,12-07-2022
625 W,08:39:07,12-07-2022
1797.5493000000001 W,08:39:22,12-07-2022
1798.5615999999998 W,08:39:35,12-07-2022
1774.2914349999999 W,08:39:54,12-07-2022
1780.0175500000005 W,08:40:06,12-07-2022
1811.6249999999998 W,08:40:19,12-07-2022
1834.7607100000002 W,08:40:34,12-07-2022
1841.3954499999995 W,08:40:53,12-07-2022
1834.5910000000001 W,08:41:05,12-07-2022
1837.6535999999999 W,08:41:18,12-07-2022
1850.121 W,08:41:34,12-07-2022
1861.1695000000004 W,08:42:08,12-07-2022
1885.0135000000005 W,08:42:20,12-07-2022
1856.2900000000002 W,08:42:33,12-07-2022
1882.0975999999996 W,08:42:52,12-07-2022
1892.6060499999996 W,08:43:07,12-07-2022
1819.5881000000002 W,08:43:20,12-07-2022
1814.6845499999997 W,08:43:35,12-07-2022
1878.0468000000005 W,08:43:51,12-07-2022
1916.3594299999997 W,08:44:07,12-07-2022
1922.2985000000003 W,08:44:19,12-07-2022
1962.16 W,08:44:35,12-07-2022
1937.6700000000003 W,08:44:54,12-07-2022
1955.1877 W,08:45:06,12-07-2022
1949.2331499999996 W,08:45:19,12-07-2022
1956.2222 W,08:45:34,12-07-2022
1980.5061 W,08:45:53,12-07-2022
1941.3702900000003 W,08:46:05,12-07-2022
675 W,08:46:21,12-07-2022
1786.3272299999996 W,08:46:34,12-07-2022
1960.5839999999998 W,08:46:52,12-07-2022
1946.3864000000008 W,08:47:08,12-07-2022
1872.6104000000003 W,08:47:24,12-07-2022
1976.794 W,08:47:36,12-07-2022
2003.3221 W,08:47:52,12-07-2022
2006.7516999999991 W,08:48:07,12-07-2022
2022.5887999999993 W,08:48:20,12-07-2022
2023.2229500000005 W,08:48:35,12-07-2022
2031.6621000000005 W,08:48:51,12-07-2022
2030.9534 W,08:49:07,12-07-2022
703 W,08:49:22,12-07-2022
2058.12875 W,08:49:38,12-07-2022
2061.1882500000006 W,08:49:50,12-07-2022
2071.728 W,08:50:12,12-07-2022
2090.4719999999998 W,08:50:18,12-07-2022
2095.1079999999993 W,08:50:34,12-07-2022
2075.137 W,08:50:53,12-07-2022
2093.427999999999 W,08:51:08,12-07-2022
2085.1701499999995 W,08:51:21,12-07-2022
2104.9649924999994 W,08:51:33,12-07-2022
2059.7995225 W,08:51:52,12-07-2022
2107.409600000001 W,08:52:08,12-07-2022
